"id","section","question","answer"
"11","Guarantor","What is an international guarantor?","An international guarantor is someone based outside the UK who takes on the same financial responsibility for the tenant. However, please be aware that Unilife does not accept international guarantors, they must live in the UK. If a student wishes to pay in three or more invoices and does not have a UK guarantor, we advise students to speak to Housing Hand who will provide guarantor support."
"12","Guarantor","What is a third-party guarantor?","A third-party guarantor is an organisation or service that acts as a guarantor on behalf of the tenant, typically for a fee. These services are often used by international students or those who cannot provide a personal guarantor. Examples include companies like Housing Hand or YourGuarantor in the UK."
"13","Room and Floor Preferences","Can I choose my room or floor?","Yes, it is important to us that you are allocated to a studio that meets your preferences. You can select your preferred room or floor based on availability during booking. Please contact the sales manager who will be able to help you confirm your room allocation."
"14","Room and Floor Preferences","Is the building co-ed or gender-specific?","All of our rooms are studios which provide a personal living experience, therefore you do not have to share any amenities with anyone. Whilst we do not provide gender specific rooms, we will take into consideration any specific requests upon booking to ensure you are satisfied with your room allocation."
"15","Room and Floor Preferences","Can I switch rooms if I don’t like the one assigned to me?","We are confident that all Unilife students will love their room. We ensure that we understand the requirements upon booking and students are aware of their room. In the unlikely scenario that students are unhappy upon arrival, we will do our best to accommodate a room change but it is subject to our availability. Please be aware that the same room category may not be available, resulting in additional fees for a room upgrade."
"16","Room and Floor Preferences","Do I need to sign a contract before I move in?","Yes, signing a tenancy agreement and making a deposit payment is required to confirm a room. Please be assured our friendly sales team will ensure that you have a great booking experience and feel confident arriving at the property."
"17","Room and Floor Preferences","Can I extend my stay if I want to continue living here after the lease ends?","At Unilife, we provide our residents with priority preference to renew in the same studio. There will be a re-booker period, prior to the rooms going to market to ensure that you get the best deal when booking. This will allow you to stay in the same studio or even upgrade to a new one! If you are looking to extend for a short period of time, this is subject to availability. We recommend contacting the property manager well in advance so we can ensure a smooth extension of the contract.
."
"18","Room and Floor Preferences","Can I stay in the room over holiday breaks?","Of course. You can stay in your room all year round and our Unilife team will be on site if you need any support."
"19","Room and Floor Preferences","Can I view the room before booking?","We want to ensure that students love their Unilife experience so we understand the importance of viewing the property as this gives you a sense of our community before moving in. We offer in person or online viewings so please let us know your preferred option and we will book in a viewing immediately."
"20","Room and Floor Preferences","How are student disputes between tenants handled?","It is important that every student has the right to quiet enjoyment throughout their tenancy and that they feel safe living at our property. There is a dedicated property manager and team on site that students can speak to if there is a dispute with another tenant."
"21","Room and Floor Preferences","Can I choose my flatmates if I’m booking a shared apartment?","At Unilife, every room is a self contained studio with your own kitchenette and ensuite bathroom, therefore you will never be sharing with another resident. If you have a preference on your room allocation, please get in touch when booking your room and we will happily help you."
"22","Room and Floor Preferences","Can I pick the exact floor of my room?","Yes, it is important to us that you are allocated to a studio that meets your preferences. There are different studio categories based on floors so if you have a preferred floor, please get in touch with us so we can help you select the most suitable studio for you."
"23","Room and Floor Preferences","How do I know if a room is available?","Our property management system is linked with our website so you will be able to see live availability of each studio category. For room availability, our sales team will be able to assist you when booking a studio."
"24","Room and Floor Preferences","Are rooms available year-round, or is there a specific lease period?","We are flexible and offer our studios on 45 to 51 week contracts. If you are looking for a shorter contract, please contact our sales team who will be able to advise on our availability for short term tenancies."
"25","Room and Floor Preferences","Can I tour the building before booking?","We want to ensure that students love their Unilife experience so we understand the importance of viewing the property as this gives you a sense of our community before moving in. We offer in person or online viewings so please let us know your preferred option and we will book in a viewing immediately."
"26","Room and Floor Preferences","Can I bring my own furniture or modify the room?","Every studio is fully furnished, however students are able to personalise their studio with their own furniture. Please contact the property manager prior to arrival to see how we are able to support your specific requests."
"27","Room and Floor Preferences","Does the room have a wardrobe or closet space?","Yes, every room has a wardrobe and storage space."
"28","Room and Floor Preferences","Is there a desk and chair in the room?","Yes, in our single occupancy studios, there is a fully equipped office space in every room which includes a desk, comfortable chair, chest of drawers and a large pin board unit for study notes. We even include multiple plug sockets with USB charging for convenience. If you are booking a dual occupancy studio, there will be two lots of furniture so you each have a comfortable study space."
"29","Room and Floor Preferences","Can I decorate the room with my own items?","There is a large pin board unit for photos and notes so you can personalise your room. We do not allow further decoration to be added directly to the walls as this will cause damage."
"30","Room and Floor Preferences","Can I bring my own bed linens and towels?","Yes, due to different preferences on bed linen and towels, students are expected to provide their own bedding and towels. We partner with Unikitout who can provide a personalised kitchen and bedding pack which arrives prior to your contract commences. Please enter Unilife10 for an exclusive 10% discount."
"31","Common Areas","Can I reserve common spaces for private events?","Please contact the city manager who will be able to provide support for this request."
"32","Common Areas","Are the kitchens stocked with pots, pans, and utensils?","Unilife understands that every student has different preferences with their cooking equipment, and therefore does not provide kitchen appliances in each room. We partner with Unikitout who can provide a personalised kitchen and bedding pack which arrives prior to your contract commences. Please enter Unilife10 for an exclusive 10% discount."
"33","Common Areas","How many people share each kitchen?","Every room at Unilife has its own private kitchen, therefore students do not share with anyone else. This offers a private living experience."
"34","Common Areas","Are the lounge areas equipped with TVs and comfortable seating?","Unilife provides state of the art communal spaces, designed to enhance the student community. There is a large community hub, games room and cinema rooms, all equipped with an 80” TV, PS5 and Nintendo switch, perfect for unwinding with residents after a long day."
"35","Common Areas","Is there a vending machine or snack bar?","Unilife provides a free grab and go breakfast, Monday to Friday from 08:00. The breakfast includes pastries and fruit. We also provide unlimited coffee, tea and hot chocolate all day, every day to help you fuel for your studying."
"36","Common Areas","Are the common areas open 24/7?","Yes, all of our communal spaces are available all day, every day for you. There is no booking required as this is your home to enjoy."
"37","Common Areas","Do I need to clean common areas after use?","Yes, tenants are expected to leave common areas clean and tidy so other Unilife residents can enjoy the space after you."
"38","Common Areas","How often is the common space cleaned?","There is a Unilife housekeeping team who will clean the communal spaces daily."
"39","Common Areas","Can I use the laundry facilities at any time?","Yes, laundry rooms are open 24/7, 7 days a week for convenience."
"40","Safety and Security","Is it allowed to smoke inside the building ?","Smoking inside the building is strictly prohibited and is a serious breach of tenancy."
"41","Safety and Security","How is garbage disposal handled in the building?","Trash is disposed of in designated bins or areas, and tenants are expected to follow the building’s rules for waste disposal."
"42","Safety and Security","What do I do if I lose my key card or access fob?","Please contact a Unilife staff member or call the 24/7 emergency Unilife number so a staff member can assist you."
"43","Safety and Security","Does the building have an emergency alarm system?","Yes, every building has fitted alarm systems throughout the building."
"44","Safety and Security","Are there fire extinguishers and alarms in the building?","Yes, all properties are required to have fire safety equipment."
"45","Safety and Security","Is there a safe or secure locker for valuables?","There are no communal safety lockers on site."
"46","Safety and Security","Can I install a lock on my bedroom door?","There is a lock on every studio door to provide high level security of each room."
"47","Safety and Security","Is there a first-aid kit available in the building?","First-aid kits are located in reception. Please contact the Unilife team who will assist. In a case of an emergency, please call the services on 999."
"48","Safety and Security","Are there any safety measures in place for overnight guests?","Tenants are responsible for any guests that enter the building. If a tenant wishes to have a guest live with them for a long period of time, they must inform the property manager so they are aware they are in the building."
"49","Safety and Security","How do I contact building management in case of an emergency","?
Use the 24/7 Unilife emergency helpline or contact the Unilife team on the reception desk. You should also call the local services on 999 if you have a risk to your life."
"50","Safety and Security","Does the building have an emergency backup power system?","Yes, our buildings have backup power systems in case of an emergency."
"51","Maintenance and Repairs","How do I report a maintenance issue in my room?","Unilife has its own Unilife mobile application that can be downloaded for free from the Apple Store or Google Play. Tenants are able to communicate directly with the property manager and also log any maintenance support tickets."
"52","Maintenance and Repairs","How long does it usually take to resolve maintenance issues?","With a dedicated maintenance team on site, any issues are resolved immediately, subject to the damage that has happened."
"53","Maintenance and Repairs","What happens if my appliance (like the fridge) breaks down?","Contact the reception or maintenance team via the Unilife mobile application, and they will resolve the issue promptly. If it's a repairable issue, they will repair the appliance, otherwise, a replacement will be provided straight away."
"54","Maintenance and Repairs","Are routine inspections of the room conducted?","Yes, there will be inspections twice a year, however students will be given several weeks notice ahead of the planned inspection."
"55","Maintenance and Repairs","Will I be charged for maintenance if it’s not my fault?","If there is any damage caused by students, it is possible that they will incur a charge as we will need to replace the item."
"56","Maintenance and Repairs","Can I contact maintenance after hours?","Yes, you can contact maintenance team via the Unilife mobile application"
"57","Maintenance and Repairs","Will someone enter my room for repairs without informing me?","When logging a maintenance ticket, you will be able to provide consent for one of our maintenance team to fix the issue whilst you are away from your room. This ensures that the problem is resolved before you get home. If you would prefer for them to wait until you are home, kindly inform the team of a suitable time and they"
"58","Maintenance and Repairs","Are there restrictions on making minor repairs or changes in my room?","Please speak to the property manager who will be able to advise."
"59","Move-in and Move-out Process","How do I check in on move-in day?","You will receive detailed instructions from the property team once you have completed your booking. You will be contacted ahead of arrival to complete your check in so you can inform the team of your arrival date and any additional support that you may require."
"60","Move-in and Move-out Process","Can I move in early or late, and do I need to schedule a time?","Yes, you will be able to confirm a time and date ahead of your arrival once the check in window is opened."
"61","Move-in and Move-out Process","Is there a move-in guide or checklist?","Yes, a move-in guide will be provided to help you with the process and ensure you have everything ready. Our friendly Unilife team is also available to help with any questions that you may have ahead of your arrival day."
"62","Move-in and Move-out Process","Will I have access to my room and key on arrival?","Of course. Once you have completed your check in, a designated member of the team will be allocated to meet you at the building. They will complete a full studio and building tour with you in person so you feel comfortable on your first day. In your studio, we would have prepared your room key, laundry card, mailbox key. You will also be treated to Unilife arrival gifts."
"63","Move-in and Move-out Process","How do I check out and return my key or access card?","Please speak with the property manager who will be able to provide details on how to depart from your studio."
"64","Move-in and Move-out Process","Do I need to clean my room before moving out?","Yes, your room will need to be left how you found it on moving day, subject to wear and tear, otherwise you may incur deductions from your deposit."
"65","Move-in and Move-out Process","Will I be charged for cleaning or damages?","You may be charged for cleaning if the room is not left in an acceptable condition or for any damages caused during your stay."
"66","Move-in and Move-out Process","How do I get my deposit back?","Once you have vacated the studio, the property manager will complete an end of tenancy inspection. You will receive a report via email from the property manager, stating the condition of the room and any proposed charges. Your deposit will be refunded to you within 10 working days, once you have accepted the proposed refund amount in writing."
"67","Move-in and Move-out Process","What happens to items left behind?","Please contact the property manager as soon as possible."
"68","Move-in and Move-out Process","Will my room be inspected before I move out?","Once you have vacated the studio, the property manager will complete an end of tenancy inspection. You will receive a report via email from the property manager, stating the condition of the room and any proposed charges."
"69","Move-in and Move-out Process","Can I extend my stay after the lease ends?","Extensions may be possible depending on availability. You should contact the property management team well in advance."
"70","Group Bookings","Does the property offer discounts or special packages for group bookings?","Please contact the sales team before booking who will be able to inform you of the rates for group bookings."
"71","Group Bookings","How do I make a group booking for a larger number of students?","To ensure that the studios are allocated next to each other, contact the sales team on yourspace@unilife.co.uk. They will help you with the booking process and ensure that you are allocated to your preferred studios."
"72","Group Bookings","Can we book a whole floor or specific rooms together as a group?","Absolutely, you can request to book an entire floor or specific rooms together, subject to availability. It’s recommended to book early to secure your preferred arrangement."
"73","Group Bookings","Can we make a group booking for the same type of room for all members of the group?","Yes, group bookings can be made for the same studio type, depending on availability."
"74","Group Bookings","Can group bookings be made for specific room types, such as en-suite or studio apartments?","Absolutely. Group bookings can be tailored to your preferred room type, provided the requested room type is available."
"75","Group Bookings","Are group bookings allowed for students who are attending different universities or campuses?","Yes, anyone who is a full time student can book with Unilife. It does not have to be a specific university."
"76","Group Bookings","Do group bookings get any priority when it comes to room selection or placement?","Room allocations are completed on a first come, first serve basis so to ensure you are allocated next door to each other, please book early to avoid disappointment."
"77","Group Bookings","How early should we make a group booking to secure availability for all members?","Every student will need a completed booking to confirm the studio allocation."
"78","Group Bookings","Are there any specific deadlines for group bookings to qualify for discounts or offers?","If you have any questions regarding the booking process, please contact the sales team and they will be happy to assist you with your query."
"79","Group Bookings","Can a group booking be changed or cancelled if someone drops out?","Bookings are made on a per studio basis so every student will be responsible for their tenancy. If a student cancels, they will be required to find a replacement tenant for their room. This will not affect the tenancies for the other tenants."
"80","Group Bookings","Is it possible to transfer a group booking to someone else if a group member can’t stay?","Bookings are made on a per studio basis so every student will be responsible for their tenancy. If a student cancels, they will be required to find a replacement tenant for their room. This will not affect the tenancies for the other tenants."
"81","Group Bookings","How do we request specific rooms for each person in the group?","Please contact the sales team upon booking so they can assist you with your preferred studio allocation."
"82","Viewings","Can I book a room without physically visiting the property?","Of course. We offer virtual tours, detailed images and videos to help you make the easy decision to stay with us at Unilife. We also have a great booking system that allows students to make a booking online without the support of the team. We do however, understand that students would like to view the property online so we can also provide virtual viewings on Facetime, We Chat or Whats app so please let us know if you would like to schedule a virtual viewing before making a booking online."
"83","Viewings","How do I arrange a viewing for a property?","To arrange a viewing, contact the sales team via their website, email, or phone. You can choose between in-person or virtual viewings."
"84","Viewings","Are virtual viewings available for international students?","Yes, absolutely. We would love to help you arrange a virtual viewing. We can meet you on Facetime, We chat or Whatsapp. Please let us know your preferred contact channel, when you are available and the best contact number so we can schedule a viewing with our friendly sales team."
"85","Viewings","What happens if I need to cancel or reschedule my viewing?","We understand that students have busy schedules so please do not worry. All we ask is that you let us know before the viewing so our team is not expecting you and we will get back in contact with you to reschedule the viewing for a more suitable time."
"86","Viewings","How long does it take to confirm my booking after submitting the required documents?","Confirmation of booking is instant, subject to payment clearing. Payments made from a UK bank will be instantly added to your account, however international transfers can take several working days to clear in our bank."
"87","Viewings","Is there a limit to how early I can book a room before the start of the academic year?","Bookings for the upcoming academic year will be live in November every year once the renewal period for current residents is over. Please contact the sales team to arrange a viewing prior to bookings going live so we can ensure that you have priority on our waiting list."
"88","Viewings","What should I check during a property viewing to ensure it meets my needs?","We understand how important it is to feel confident about your accommodation choice before booking. Our friendly sales team will make sure you feel at ease and will take the time to understand your requirements over a coffee when you arrive at the building. To ensure the property meets your needs, we recommend checking both the studio and communal spaces carefully, paying attention to details like cleanliness, space, and functionality.
Additionally, we encourage you to explore the area surrounding the property. Take a walk to nearby amenities such as the university, shops, and transportation options to get a better sense of the daily experience in the city."
"89","Additional Questions","Can I bring someone along for the viewing?","Yes absolutely. You are welcome to bring any friend or family member with you on your viewing. We recommend letting us know prior to the viewing so we can make necessary arrangements."
"90","Additional Questions","What documents do I need to bring for the booking process?","You will be required to upload your identification and proof of studies when making a booking. You will also be required to enter your course details, such as the university you are studying at, the course you are studying and your year of study. If you have any questions regarding the information that is required, please do not hesitate to ask."
"91","Additional Questions","Can I request specific room features or preferences during the booking process?","Yes absolutely, please let us know any specific features or preferences, such as room type, floor level, or adjustments to the studio when booking so we can do our best to help."
