"id","section","question","answer"
"115","Classic Studio","Are the Luxury Studios available for single occupancy?","The Luxury Studios are designed for dual occupancy only but they can also be booked for single occupancy too!
**Luxury Plus Studios**"
"116","Classic Studio","Where are the Luxury Plus Studios located","?The Luxury Plus Studios are located on the 2nd, 3rd, and 4th floors of Riverside House."
"117","Classic Studio","Does the Luxury Plus Studio have a river view?","Yes, all of the Luxury Plus Studio provide beautiful views of the River Wey."
"118","Classic Studio","Are the Luxury Plus Studios for single or dual occupancy?","The Luxury Plus Studios are designed for dual occupancy only but they can also be booked for single occupancy too!"
"119","Classic Studio","Does the Luxury Plus Studio have two study desks?","Yes, the Luxury Studio is designed for dual occupancy, so it includes two study desks, two comfortable office chairs and two chest of drawers."
"120","Luxury VIP Studios","Where are the Luxury VIP Studios located?","The Luxury VIP Studios are located on the 5th floor of Riverside House."
"121","Luxury VIP Studios","What is the occupancy for the Luxury VIP Studio?","The Luxury Plus Studios are designed for dual occupancy only but they can also be booked for single occupancy too!"
"122","Luxury VIP Studios","Does the Luxury VIP Studio have a river view?","Yes, all of the Luxury VIP Studios provide beautiful views of the River Wey."
"123","Luxury VIP Studios","Are the Luxury VIP Studios available for single occupancy?","The Luxury VIP Studios are designed for dual occupancy only but they can also be booked for single occupancy too!"
"124","Luxury VIP Studios","Are the Luxury VIP Studios the most expensive?","Yes, the Luxury VIP Studios are the most expensive, priced from £445 per week."
"125","Luxury VIP Studios","Do Luxury VIP Studios have better views than Luxury Studios?","Yes, the Luxury VIP Studios offer better views of the River Wey, as they are located on the top floor. The top floor also has less studios so it is quieter compared to other floors."
"126","Luxury VIP Studios","What is the cost of a Premium Extra Studio per week?","Please refer to our website for live pricing."
"127","Luxury VIP Studios","Where are the Premium Extra Studios located?","The Premium Extra Studios are located on the 5th floor."
"128","Luxury VIP Studios","What is the occupancy for the Premium Extra Studio?","The premium extra studios are for single occupancy."
"129","Luxury VIP Studios","Is there a kitchenette in the Premium Extra Studio?","Yes, the Premium Extra Studio has a fully equipped kitchenette with cooking facilities."
"130","Safety and Security","What are the safety measures at Riverside House ?","The property has fire alarms, smoke detectors, clearly marked exits, and emergency response protocols to ensure resident safety during emergencies."
"131","Safety and Security","Are there security personnel on-site at Riverside House?","YYes, there are on-site teams available to assist residents and address security concerns as needed."
"132","Safety and Security","What security features are in place at Riverside House?","Riverside House has various security features including secure entry points, CCTV coverage, and a controlled access system to maintain safety."
"133","Safety and Security","Are the studios equipped with secure locks?","Yes, each studio is fitted with secure locks to provide residents with additional peace of mind."
"134","Safety and Security","Is there CCTV coverage in the building and common areas?","Yes, 4K CCTV monitoring is in place throughout the building and in all common areas that staff have access to 24 hours a day."
"135","Safety and Security","How is access controlled at Riverside House?","Access is controlled via a secure fob entry system, ensuring that only residents and authorised personnel can enter."
"136","Safety and Security","Can visitors access the building freely, or are there restrictions?","There is no restriction on tenants bringing a visitor into the building as this is your home. Please be aware that tenants are responsible for the behaviour of their guests in the building."
"137","Safety and Security","Is there a system for reporting lost keys or security concerns?","**I**f you lose your keys or have any security concerns, simply speak to your property manager, who will assist you in getting back into your studio. If it's outside of office hours, don't worry, you can contact the Unilife 24-hour emergency line, and we'll provide you with remote assistance to resolve the issue quickly and efficiently."
"138","Safety and Security","How do residents report security issues or incidents","?
If there is an emergency, please call the services on 999. You can also contact the Unilife team, 24 hours a day, 7 days a week on the Unilife 24-hour emergency line."
"139","Safety and Security","Are the studio doors equipped with an electronic security system?","Yes, studio doors are equipped with secure electronic locks for enhanced safety."
"140","Safety and Security","Is there a 24/7 security hotline or emergency number for residents?","Yes, residents are provided with a 24/7 Unilife emergency contact number to report urgent issues."
"141","Safety and Security","What safety measures are in place in Riverside House in case of an emergency?","Riverside House has comprehensive safety measures in place, including fire safety protocols and emergency evacuation plans to protect residents in case of an emergency."
"142","Safety and Security","Are there fire alarms and smoke detectors in each studio?","Yes, each studio at Riverside House is equipped with fire alarms , heat detectors for resident safety."
"143","Safety and Security","Does Riverside House have a fire evacuation plan?","Yes, Riverside House has a well-established fire evacuation plan to guide residents safely out of the building in case of a fire."
"144","Safety and Security","Are fire drills conducted regularly at Riverside House?","Unilife does periodic fire drills to ensure residents are aware of the correct evacuation procedures."
"145","Safety and Security","Are the building exits clearly marked and accessible in case of an emergency?","Yes, all exits are clearly marked and easily accessible to ensure a safe and efficient evacuation during emergencies."
"146","Safety and Security","Are there fire extinguishers and safety equipment in the common areas?","Yes, fire extinguishers and other safety equipment are installed in common areas throughout the building."
"147","Safety and Security","How are residents notified in case of a fire or emergency?","Residents are notified through the building’s alarm system and any additional communication from on-site staff."
"148","Safety and Security","Does Riverside House provide safety training or guidelines for students?","Yes, safety guidelines and instructions are provided to students during move-in and throughout their stay as needed."
"149","Safety and Security","Is there a first aid kit available in the building?","Yes, a first aid kit is available on-site which is located in reception."
"150","Safety and Security","Is the building accessible for people with disabilities in case of an emergency?","Yes, Riverside House is fully accessible for students with disabilities. The property features a lift for easy access, and we offer specially designed accessible studios on-site to ensure comfort and convenience."
"151","Contact Information","How can I contact Riverside House for inquiries or bookings?","You can contact Riverside House via phone at +44 7802 322917 or email on yourspace@unilife.co.uk."
"152","Contact Information","What is the response time for inquiries?","The Unilife team will aim to respond to all enquiries on the same day."
"153","Contact Information","How can I schedule a viewing of Riverside House?","You can schedule a viewing by contacting the team via email or phone. Alternatively, you can use their live chat feature on the website to make arrangements."
"154","Contact Information","Are there any social media platforms where I can contact Riverside House?","Yes, you can visit the Unilife official accounts on TikTok, Instagram, Facebook, WeChat and Whatsapp. Please search Unilife Student Living."
"155","Contact Information","Is there a customer service or support line available at Riverside House?","You can contact Riverside House via phone at +44 7802 322917 or email on yourspace@unilife.co.uk. If you are a current resident, you can contact the property manager directly from the Unilife mobile app."
"156","Contact Information","Can I contact Riverside House through FaceTime for a tour or assistance?","Yes absolutely, FaceTime is available as an option for virtual tours or assistance with any queries. Please reach out to us to book a virtual viewing!"
